Signature: 241/16, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;74;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;79;0,4990;479;4;1;1;1;1;0;1
0,7500;720;1;2;240;81;0,1240;119;1;0;0;0;0;0;0
0,8750;840;1;2;360;82;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;3;0;84;0,1240;119;1;0;0;1;0;0;0
1,1250;1080;1;3;120;82;0,1240;119;1;0;0;0;0;0;0
1,2500;1200;1;3;240;82;0,1240;119;1;1;1;1;0;0;0
1,3750;1320;1;3;360;81;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;4;0;81;0,1240;119;1;1;0;1;0;0;0
1,6250;1560;1;4;120;79;0,1240;119;1;0;0;0;0;0;0
1,7500;1680;1;4;240;79;0,1240;119;1;0;0;0;0;0;0
1,8750;1800;1;4;360;78;0,1240;119;1;0;0;0;0;0;0
2,0000;1920;1;5;0;79;0,4990;479;4;1;1;1;1;1;1
2,5000;2400;1;6;0;81;0,1240;119;1;0;0;0;0;0;0
2,6250;2520;1;6;120;82;0,1240;119;1;0;0;0;0;0;0
2,7500;2640;1;6;240;84;0,4990;479;4;1;0;1;0;0;1
3,2500;3120;1;7;240;86;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;1;8;0;82;0,3740;359;3;1;1;0;0;0;0
3,8750;3720;1;8;360;81;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;1;9;0;81;0,1240;119;1;0;0;1;0;0;0
4,1250;3960;1;9;120;79;0,1240;119;1;0;0;0;0;0;0
4,2500;4080;1;9;240;79;0,1240;119;1;0;0;0;0;0;0
4,3750;4200;1;9;360;78;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;1;10;0;79;0,4990;479;4;1;1;1;1;1;1
5,0000;4800;1;11;0;81;0,1240;119;1;0;0;0;0;0;0
5,1250;4920;1;11;120;79;0,1240;119;1;0;0;0;0;0;0
5,2500;5040;1;11;240;78;0,4990;479;4;1;0;0;0;0;1
5,7500;5520;1;12;240;79;0,2490;239;2;0;0;1;0;0;0
6,0000;5760;1;13;0;75;0,3740;359;3;1;1;0;0;0;0
6,3750;6120;1;13;360;74;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;1;14;0;75;0,1240;119;1;0;0;0;0;0;0
6,6250;6360;1;14;120;74;0,1240;119;1;0;0;0;0;0;0
6,7500;6480;1;14;240;75;0,1240;119;1;0;0;0;0;0;0
6,8750;6600;1;14;360;78;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;1;15;0;74;0,4990;479;4;1;1;1;1;1;1
7,5000;7200;1;16;0;75;0,1240;119;1;0;0;0;0;0;0
7,6250;7320;1;16;120;74;0,1240;119;1;0;0;0;0;0;0
7,7500;7440;1;16;240;72;0,4990;479;4;1;0;1;0;1;1
8,2500;7920;1;17;240;74;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;1;18;0;70;0,3740;359;3;1;1;0;0;0;0
8,8750;8520;1;18;360;69;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;1;19;0;69;0,1240;119;1;0;0;0;0;0;0
9,1250;8760;1;19;120;69;0,1240;119;1;1;0;1;0;0;0
9,2500;8880;1;19;240;67;0,1240;119;1;0;0;0;0;0;0
9,3750;9000;1;19;360;67;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;1;20;0;66;0,1240;119;1;0;0;0;0;0;0
9,6250;9240;1;20;120;67;0,4990;479;4;1;1;1;1;0;1
10,1250;9720;1;21;120;74;0,2490;239;2;0;0;0;0;0;0
10,3750;9960;1;21;360;79;0,4990;479;4;1;0;1;0;1;1
10,8750;10440;1;22;360;81;0,1240;119;1;0;0;0;0;0;0
11,0000;10560;1;23;0;82;0,1240;119;1;0;0;0;0;0;0
11,1250;10680;1;23;120;84;0,1240;119;1;0;0;1;0;0;0
11,2500;10800;1;23;240;82;0,1240;119;1;0;0;0;0;0;0
11,3750;10920;1;23;360;82;0,1240;119;1;1;1;1;0;0;0
11,5000;11040;1;24;0;81;0,1240;119;1;0;0;0;0;0;0
11,6250;11160;1;24;120;81;0,1240;119;1;1;0;1;0;0;0
11,7500;11280;1;24;240;79;0,1240;119;1;0;0;0;0;0;0
11,8750;11400;1;24;360;79;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;1;25;0;78;0,1240;119;1;0;0;0;0;0;0
12,1250;11640;1;25;120;79;0,4990;479;4;1;0;1;1;1;1
12,6250;12120;1;26;120;74;0,2490;239;2;0;0;0;0;0;0
12,8750;12360;1;26;360;79;0,4990;479;4;1;1;1;0;0;1
13,3750;12840;1;27;360;81;0,2490;239;2;0;0;0;0;0;0
13,6250;13080;1;28;120;82;0,4990;479;4;1;0;1;0;0;1
14,1250;13560;1;29;120;82;0,2490;239;2;0;0;0;0;0;0
14,3750;13800;1;29;360;81;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;1;30;0;84;0,1240;119;1;0;0;0;0;0;0
14,6250;14040;1;30;120;82;0,4990;479;4;1;1;0;0;0;1
15,1250;14520;1;31;120;79;0,2490;239;2;0;0;1;1;0;0
15,3750;14760;1;31;360;86;0,4990;479;4;1;1;0;0;1;1
15,8750;15240;1;32;360;84;0,2490;239;2;0;0;0;0;0;0
16,1250;15480;1;33;120;84;0,1240;119;1;0;0;1;0;0;0
16,2500;15600;1;33;240;82;0,1240;119;1;0;0;0;0;0;0
16,3750;15720;1;33;360;82;0,1240;119;1;1;0;1;0;0;0
16,5000;15840;1;34;0;81;0,1240;119;1;0;0;0;0;0;0
16,6250;15960;1;34;120;81;0,1240;119;1;1;0;1;1;0;0
16,7500;16080;1;34;240;79;0,1240;119;1;0;0;0;0;0;0
16,8750;16200;1;34;360;79;0,1240;119;1;0;0;1;0;0;0
17,0000;16320;1;35;0;77;0,1240;119;1;0;0;0;0;0;0
17,1250;16440;1;35;120;79;0,2490;239;2;1;1;1;0;0;0
17,3750;16680;1;35;360;81;0,1240;119;1;0;0;0;0;0;0
17,5000;16800;1;36;0;82;0,1240;119;1;0;0;1;1;0;0
17,6250;16920;1;36;120;77;0,2490;239;2;0;0;0;0;0;0
17,8750;17160;1;36;360;79;0,4990;479;4;1;1;1;0;1;1
18,3750;17640;1;37;360;81;0,2490;239;2;0;0;0;0;0;0
18,6250;17880;1;38;120;82;0,4990;479;4;1;1;1;0;0;1
19,1250;18360;1;39;120;82;0,2490;239;2;0;0;0;0;0;0
19,3750;18600;1;39;360;81;0,1240;119;1;0;0;0;0;0;0
19,5000;18720;1;40;0;84;0,1240;119;1;0;0;0;0;0;0
19,6250;18840;1;40;120;82;0,4990;479;4;1;0;1;1;0;1
20,1250;19320;1;41;120;81;0,1240;119;1;0;0;0;0;0;0
20,2500;19440;1;41;240;82;0,1240;119;1;0;0;0;0;0;0
20,3750;19560;1;41;360;84;0,4990;479;4;1;0;1;0;1;1
20,8750;20040;1;42;360;86;0,2490;239;2;0;0;0;0;0;0
21,1250;20280;1;43;120;82;0,3740;359;3;1;1;0;0;0;0
21,5000;20640;1;44;0;81;0,1240;119;1;0;0;0;0;0;0
21,6250;20760;1;44;120;81;0,1240;119;1;0;0;1;0;0;0
21,7500;20880;1;44;240;79;0,1240;119;1;0;0;0;0;0;0
21,8750;21000;1;44;360;79;0,1240;119;1;0;0;0;0;0;0
22,0000;21120;1;45;0;78;0,1240;119;1;0;0;0;0;0;0
22,1250;21240;1;45;120;79;0,4990;479;4;1;1;1;1;0;1
22,6250;21720;1;46;120;81;0,1240;119;1;0;0;0;0;0;0
22,7500;21840;1;46;240;79;0,1240;119;1;0;0;0;0;0;0
22,8750;21960;1;46;360;78;0,4990;479;4;1;0;1;0;1;1
23,3750;22440;1;47;360;79;0,2490;239;2;0;0;0;0;0;0
23,6250;22680;1;48;120;78;0,1240;119;1;0;0;0;0;0;0
23,7500;22800;1;48;240;76;0,1240;119;1;0;0;0;0;0;0
23,8750;22920;1;48;360;75;0,1240;119;1;0;0;0;0;0;0
24,0000;23040;1;49;0;74;0,1240;119;1;0;0;0;0;0;0
24,1250;23160;1;49;120;75;0,1240;119;1;0;0;0;0;0;0
24,2500;23280;1;49;240;74;0,1240;119;1;0;0;0;0;0;0
24,3750;23400;1;49;360;75;0,1240;119;1;0;0;0;0;0;0
24,5000;23520;1;50;0;78;0,1240;119;1;0;0;0;0;0;0
24,6250;23640;1;50;120;74;0,4990;479;4;1;1;1;1;1;1
25,1250;24120;1;51;120;75;0,1240;119;1;0;0;0;0;0;0
25,2500;24240;1;51;240;74;0,1240;119;1;0;0;0;0;0;0
25,3750;24360;1;51;360;72;0,4990;479;4;1;0;1;0;0;1
25,8750;24840;1;52;360;74;0,2490;239;2;0;0;0;0;0;0
26,1250;25080;1;53;120;70;0,3740;359;3;1;1;0;0;0;0
26,5000;25440;1;54;0;69;0,1240;119;1;0;0;0;0;0;0
26,6250;25560;1;54;120;69;0,1240;119;1;0;0;1;0;0;0
26,7500;25680;1;54;240;67;0,1240;119;1;0;0;0;0;0;0
26,8750;25800;1;54;360;67;0,1240;119;1;0;0;0;0;0;0
27,0000;25920;1;55;0;66;0,1240;119;1;0;0;0;0;0;0
27,1250;26040;1;55;120;67;0,4990;479;4;1;1;1;1;1;1
27,6250;26520;1;56;120;69;0,1240;119;1;0;0;0;0;0;0
27,7500;26640;1;56;240;70;0,1240;119;1;0;0;0;0;0;0
27,8750;26760;1;56;360;72;0,4990;479;4;1;0;1;0;0;1
28,3750;27240;1;57;360;74;0,2490;239;2;0;0;0;0;0;0
28,6250;27480;1;58;120;70;0,3740;359;3;1;1;0;0;0;0
29,0000;27840;1;59;0;69;0,1240;119;1;0;0;0;0;0;0
29,1250;27960;1;59;120;69;0,1240;119;1;0;0;1;0;0;0
29,2500;28080;1;59;240;67;0,1240;119;1;0;0;0;0;0;0
29,3750;28200;1;59;360;67;0,1240;119;1;0;0;1;0;0;0
29,5000;28320;1;60;0;66;0,1240;119;1;0;0;0;0;0;0
29,6250;28440;1;60;120;67;0,4990;479;4;1;1;1;1;1;1
